id,order,content,recipeId
152,2,SautÃƒÂ© garlic and chicken in butter.,38
153,3,Add heavy cream and parmesan cheese.,38
154,4,Toss pasta in the creamy sauce.,38
155,5,Serve with additional cheese and parsley.,38
156,1,"Marinate sliced lamb or chicken with olive oil, garlic, lemon juice, oregano, salt, and pepper for at least 2 hours.",39
157,2,Grill or pan-fry the marinated meat until fully cooked and slightly crispy on the edges.,39
158,3,Warm the pita bread in a dry pan or oven.,39
159,4,Spread tzatziki sauce on the pita.,39
160,5,"Add cooked meat, sliced tomatoes, onions, and lettuce.",39
161,6,Wrap the gyro and serve warm.,39
162,1,Boil water with lemongrass and lime leaves.,40
163,2,"Add shrimp, mushrooms, and chili paste.",40
164,3,Season with fish sauce and lime juice.,40
165,4,Simmer for 5 minutes and serve hot.,40
166,1,"SautÃƒÂ© onions, garlic, and celery in olive oil.",41
167,2,"Add diced tomatoes, beans, and broth.",41
168,3,Simmer for 20 minutes.,41
169,4,Add pasta and cook until tender.,41
170,5,Serve hot with grated parmesan.,41
171,1,Caramelize sliced onions in butter over medium heat.,42
172,2,"Add beef broth, thyme, and bay leaf. Simmer for 30 minutes.",42
173,3,Ladle soup into bowls and top with toasted baguette slices.,42
174,4,Sprinkle grated GruyÃƒÂ¨re cheese and broil until melted.,42
175,1,"Blend tomatoes, cucumber, bell pepper, and garlic until smooth.",43
176,2,"Add olive oil, vinegar, salt, and pepper to taste.",43
177,3,Chill the mixture in the refrigerator for at least 2 hours.,43
178,4,Serve cold with diced vegetables on top.,43
179,1,"SautÃƒÂ© chopped onions, garlic, and carrots in olive oil.",44
180,2,"Add lentils, vegetable broth, and bay leaf.",44
181,3,Simmer for 30Ã¢â‚¬â€œ40 minutes until lentils are soft.,44
182,4,"Season with salt, pepper, and a splash of lemon juice.",44
183,1,Heat cream and vanilla until warm.,45
184,2,"Whisk egg yolks with sugar, then slowly add warm cream.",45
185,3,Pour into ramekins and bake in a water bath.,45
186,4,"Chill, then sprinkle sugar and torch until caramelized.",45
187,1,Scoop ice cream into small balls and freeze until solid.,46
188,2,Wrap each ball with mochi dough.,46
189,3,Dust with cornstarch and freeze again before serving.,46
190,1,Beat egg whites until stiff peaks form.,47
191,2,"Gradually add sugar and vinegar, beating until glossy.",47
192,3,Shape meringue on baking sheet and bake low and slow.,47
193,4,Top with whipped cream and fresh fruit once cool.,47
194,1,Prepare pie crust and chill.,48
195,2,Make caramel with condensed milk and butter.,48
196,3,Pour caramel into crust and chill until set.,48
197,4,Top with sliced bananas and whipped cream.,48
198,1,Layer phyllo dough with melted butter and nuts.,49
199,2,Repeat layers and bake until golden.,49
200,3,Pour sugar syrup flavored with lemon and cinnamon over hot baklava.,49
201,4,Let cool completely before serving.,49
202,1,Butter two slices of bread.,50
203,2,Place cheese between them and grill until golden brown.,50
204,1,Toast bread slices to desired doneness.,51
205,2,"Mash avocado with lemon juice, salt, and pepper.",51
206,3,Spread avocado on toast and garnish as desired.,51
207,1,Slice cucumbers and onions thinly.,52
208,2,"Mix vinegar, sugar, salt, and dill for dressing.",52
209,3,Combine cucumbers with dressing and chill before serving.,52
210,1,Crack eggs into a bowl and whisk with salt.,53
211,2,Melt butter in a pan and pour in the eggs.,53
212,3,Gently stir until just set and creamy.,53
213,1,"Combine fruits, yogurt, and honey in a blender.",54
214,2,Blend until smooth and serve chilled.,54
215,1,Sear beef tenderloin and let cool.,55
216,2,Wrap in mushroom duxelles and prosciutto.,55
217,3,Wrap in puff pastry and chill.,55
218,4,Bake until golden and meat is medium rare.,55
219,1,"Marinate chicken in wine, garlic, and herbs overnight.",56
220,2,"Sear chicken and bacon, then cook with vegetables and wine.",56
221,3,Simmer until chicken is tender and sauce thickens.,56
222,1,Air dry the duck and season with spices.,57
223,2,Roast duck until skin is crisp.,57
224,3,"Serve with pancakes, hoisin sauce, and scallions.",57
225,1,"SautÃƒÂ© vegetables like zucchini, eggplant, and bell peppers.",58
226,2,Layer in a dish with tomato sauce and herbs.,58
227,3,Bake until vegetables are tender.,58
228,1,Sear veal shanks and set aside.,59
229,2,"Cook mirepoix and add wine, broth, and tomatoes.",59
230,3,Return shanks and braise until tender.,59
231,4,Serve with gremolata and risotto or polenta.,59
232,1,"Mix flour, milk, eggs, and sugar to make batter.",60
233,2,Pour onto a hot griddle and cook both sides.,60
234,3,"Serve with syrup, fruit, or butter.",60
235,1,"Whisk eggs, milk, and cinnamon.",61
236,2,Dip bread slices and fry until golden.,61
237,3,Serve with syrup and powdered sugar.,61
238,1,Boil oats with milk or water.,62
239,2,Stir until thick and creamy.,62
240,3,"Top with fruits, nuts, or sweetener of choice.",62
241,1,Scramble eggs and cook sausage.,63
242,2,"Fill tortilla with eggs, sausage, cheese, and salsa.",63
243,3,Roll up and toast in a pan or wrap in foil.,63
244,1,Poach eggs in simmering water with vinegar.,64
245,2,Toast English muffins and layer with ham.,64
246,3,Top with poached egg and hollandaise sauce.,64
247,1,Prepare the ingredients.,65
248,2,Cook the main components as required.,65
249,3,Assemble and serve the dish.,65
250,1,Prepare the ingredients.,66
251,2,Cook the main components as required.,66
252,3,Assemble and serve the dish.,66
253,1,Prepare the ingredients.,67
254,2,Cook the main components as required.,67
255,3,Assemble and serve the dish.,67
256,1,Prepare the ingredients.,68
257,2,Cook the main components as required.,68
258,3,Assemble and serve the dish.,68
259,1,Prepare the ingredients.,69
260,2,Cook the main components as required.,69
261,3,Assemble and serve the dish.,69
262,1,Prepare the ingredients.,70
263,2,Cook the main components as required.,70
264,3,Assemble and serve the dish.,70
265,1,Prepare the ingredients.,71
266,2,Cook the main components as required.,71
267,3,Assemble and serve the dish.,71
268,1,Prepare the ingredients.,72
269,2,Cook the main components as required.,72
270,3,Assemble and serve the dish.,72
271,1,Prepare the ingredients.,73
272,2,Cook the main components as required.,73
273,3,Assemble and serve the dish.,73
274,1,Prepare the ingredients.,74
275,2,Cook the main components as required.,74
276,3,Assemble and serve the dish.,74
277,1,Prepare the ingredients.,75
278,2,Cook the main components as required.,75
279,3,Assemble and serve the dish.,75
280,1,Prepare the ingredients.,76
281,2,Cook the main components as required.,76
282,3,Assemble and serve the dish.,76
283,1,Prepare the ingredients.,77
284,2,Cook the main components as required.,77
285,3,Assemble and serve the dish.,77
286,1,Prepare the ingredients.,78
287,2,Cook the main components as required.,78
288,3,Assemble and serve the dish.,78
289,1,Prepare the ingredients.,79
290,2,Cook the main components as required.,79
291,3,Assemble and serve the dish.,79
292,1,Prepare the ingredients.,80
293,2,Cook the main components as required.,80
294,3,Assemble and serve the dish.,80
295,1,Prepare the ingredients.,81
296,2,Cook the main components as required.,81
297,3,Assemble and serve the dish.,81
298,1,Prepare the ingredients.,82
299,2,Cook the main components as required.,82
300,3,Assemble and serve the dish.,82
301,1,Prepare the ingredients.,83
302,2,Cook the main components as required.,83
303,3,Assemble and serve the dish.,83
304,1,Prepare the ingredients.,84
305,2,Cook the main components as required.,84
306,3,Assemble and serve the dish.,84
307,1,Prepare the ingredients.,85
308,2,Cook the main components as required.,85
309,3,Assemble and serve the dish.,85
310,1,Prepare the ingredients.,86
311,2,Cook the main components as required.,86
312,3,Assemble and serve the dish.,86
313,1,Prepare the ingredients.,87
314,2,Cook the main components as required.,87
315,3,Assemble and serve the dish.,87
316,1,Prepare the ingredients.,88
317,2,Cook the main components as required.,88
318,3,Assemble and serve the dish.,88
319,1,Prepare the ingredients.,89
320,2,Cook the main components as required.,89
321,3,Assemble and serve the dish.,89
322,1,Prepare the ingredients.,90
323,2,Cook the main components as required.,90
324,3,Assemble and serve the dish.,90
325,1,Prepare the ingredients.,91
326,2,Cook the main components as required.,91
327,3,Assemble and serve the dish.,91
328,1,Prepare the ingredients.,92
329,2,Cook the main components as required.,92
330,3,Assemble and serve the dish.,92
331,1,Prepare the ingredients.,93
332,2,Cook the main components as required.,93
333,3,Assemble and serve the dish.,93
334,1,Prepare the ingredients.,94
335,2,Cook the main components as required.,94
336,3,Assemble and serve the dish.,94
337,1,Prepare the ingredients.,95
338,2,Cook the main components as required.,95
339,3,Assemble and serve the dish.,95
340,1,Prepare the ingredients.,96
341,2,Cook the main components as required.,96
342,3,Assemble and serve the dish.,96
343,1,Prepare the ingredients.,97
344,2,Cook the main components as required.,97
345,3,Assemble and serve the dish.,97
346,1,Prepare the ingredients.,98
347,2,Cook the main components as required.,98
348,3,Assemble and serve the dish.,98
349,1,Prepare the ingredients.,99
350,2,Cook the main components as required.,99
351,3,Assemble and serve the dish.,99
352,1,Prepare the ingredients.,100
353,2,Cook the main components as required.,100
354,3,Assemble and serve the dish.,100
355,1,Prepare the ingredients.,101
356,2,Cook the main components as required.,101
357,3,Assemble and serve the dish.,101
358,1,Prepare the ingredients.,102
359,2,Cook the main components as required.,102
360,3,Assemble and serve the dish.,102
361,1,Prepare the ingredients.,103
362,2,Cook the main components as required.,103
363,3,Assemble and serve the dish.,103
364,1,Prepare the ingredients.,104
365,2,Cook the main components as required.,104
366,3,Assemble and serve the dish.,104
